event_time,event_type,product_id,category_id,category_code,brand,price,user_id,user_session,main_category,hour,day_of_week,month,date,is_weekend,is_purchase,is_cart,is_view,price_range,session_event_count,user_total_purchases,is_buyer
2019-11-01 06:09:49+00:00,view,7006440,2053013560346280633,kids.carriage,adamex,404.13,563525937,5cbee8b5-d39f-4348-86e8-4d4b0003b24d,kids,6,Friday,November,2019-11-01,False,0,0,1,high,97,0,0
2019-10-01 07:26:30+00:00,view,33000549,2055909009252155819,unknown,unknown,3.78,555525970,87671be1-531d-4f68-8ce1-1cc7980a2496,unknown,7,Tuesday,October,2019-10-01,False,0,0,1,budget,2,0,0
2019-10-01 02:40:30+00:00,view,17302770,2053013553853497655,unknown,unknown,515.32,515720373,a5c7ad52-1f67-44dd-a967-dc96f3b88418,unknown,2,Tuesday,October,2019-10-01,False,0,0,1,high,12,0,0
2019-11-01 06:36:06+00:00,view,2600286,2053013563970159485,unknown,unknown,171.69,513198460,dd177611-1dc6-4b8d-9793-4297c963a30f,unknown,6,Friday,November,2019-11-01,False,0,0,1,mid,13,0,0
2019-11-01 05:10:44+00:00,view,2800449,2053013563835941749,appliances.kitchen.refrigerators,unknown,231.0,519152137,a91cf1b2-dc81-46c3-a928-ac50431ade1d,appliances,5,Friday,November,2019-11-01,False,0,0,1,mid,8,0,0
2019-10-01 07:26:30+00:00,view,16300031,2053013558131687989,unknown,kukmara,36.01,551730745,bdb936a5-c76b-4a37-a045-ff88db564ddd,unknown,7,Tuesday,October,2019-10-01,False,0,0,1,low,10,0,0
2019-11-01 05:57:41+00:00,view,1005133,2053013555631882655,electronics.smartphone,apple,1591.08,548863560,6ec41e49-bbc6-47b0-a73c-46531d82d27d,electronics,5,Friday,November,2019-11-01,False,0,0,1,luxury,16,1,1
2019-10-01 02:30:09+00:00,view,17200530,2053013559792632471,furniture.living_room.sofa,unknown,473.63,550999243,3d295a8f-349c-4a6d-99cc-8dea2d828ac1,furniture,2,Tuesday,October,2019-10-01,False,0,0,1,high,22,0,0
2019-10-01 02:26:52+00:00,view,19200023,2053013556202308035,construction.tools.saw,husqvarna,514.81,554741027,9d7798d1-2cf6-4b13-a81e-7e3fa6f2f047,construction,2,Tuesday,October,2019-10-01,False,0,0,1,high,1,0,0
2019-11-01 06:43:55+00:00,view,1003772,2053013555631882655,electronics.smartphone,huawei,257.12,515026157,a367251e-83f1-4118-8e04-67575e30c849,electronics,6,Friday,November,2019-11-01,False,0,0,1,mid,1,0,0
2019-11-01 05:06:52+00:00,cart,1200947,2172371436436455782,electronics.tablet,samsung,109.36,517490882,fcff5c5e-a35a-4ef8-87d9-a5938b637095,electronics,5,Friday,November,2019-11-01,False,0,1,0,mid,17,1,1
2019-10-01 06:34:50+00:00,view,5701166,2053013553970938175,auto.accessories.player,unknown,136.4,514177690,c89e9297-4fb8-40df-8e5b-3eef9744fb84,auto,6,Tuesday,October,2019-10-01,False,0,0,1,mid,31,0,0
2019-11-01 01:28:10+00:00,view,15901541,2053013558190408249,unknown,granhel,42.21,512778900,b82f0126-2f46-4238-b467-a11399689528,unknown,1,Friday,November,2019-11-01,False,0,0,1,low,8,0,0
2019-11-01 06:11:26+00:00,view,1003317,2053013555631882655,electronics.smartphone,apple,928.18,512411704,19f809c6-4d4f-4f46-90c8-f5da6d0354fc,electronics,6,Friday,November,2019-11-01,False,0,0,1,high,8,0,0
2019-10-01 07:11:16+00:00,view,1002544,2053013555631882655,electronics.smartphone,apple,464.08,512727415,fcde6e15-2f5b-4a63-8400-4fa867d662c3,electronics,7,Tuesday,October,2019-10-01,False,0,0,1,high,3,0,0
2019-10-01 06:29:26+00:00,view,1005105,2053013555631882655,electronics.smartphone,apple,1415.48,515900147,e0f221f3-2855-4404-8fdb-554b0daf6311,electronics,6,Tuesday,October,2019-10-01,False,0,0,1,luxury,2,0,0
2019-10-01 06:05:07+00:00,view,1005073,2053013555631882655,electronics.smartphone,samsung,1206.45,551903691,c04e6074-febe-4359-bf6a-0a2652eb9db5,electronics,6,Tuesday,October,2019-10-01,False,0,0,1,luxury,9,0,0
2019-11-01 03:49:28+00:00,view,1004957,2053013555631882655,electronics.smartphone,xiaomi,360.11,533446597,57c1afb8-62ea-44d9-9557-659ddb990d66,electronics,3,Friday,November,2019-11-01,False,0,0,1,high,11,0,0
2019-10-01 06:26:32+00:00,view,28101002,2053013564918072245,unknown,unknown,99.1,513003001,2cbba8a8-de77-4abf-a8cb-7f9c376eee2a,unknown,6,Tuesday,October,2019-10-01,False,0,0,1,low,1,0,0
2019-10-01 06:13:29+00:00,view,14700194,2053013557133443581,furniture.living_room.cabinet,unknown,257.15,544602761,4e58986b-41bf-4252-b846-a4c5bb899921,furniture,6,Tuesday,October,2019-10-01,False,0,0,1,mid,9,1,1
2019-11-01 05:04:25+00:00,view,1004741,2053013555631882655,electronics.smartphone,xiaomi,189.97,554091777,ff145868-d4ea-40c7-91f4-b4e4588030d0,electronics,5,Friday,November,2019-11-01,False,0,0,1,mid,4,0,0
2019-11-01 04:33:28+00:00,view,31501156,2053013558031024687,unknown,unknown,36.17,515492608,05ccf007-0c80-4daf-a1ac-a32d841f7ef3,unknown,4,Friday,November,2019-11-01,False,0,0,1,low,8,0,0
2019-10-01 05:24:52+00:00,view,21403723,2053013561579406073,electronics.clocks,unknown,143.89,513727753,b5693fad-a75e-4791-aec5-16fe649de0e1,electronics,5,Tuesday,October,2019-10-01,False,0,0,1,mid,36,4,1
2019-11-01 06:12:52+00:00,view,1002524,2053013555631882655,electronics.smartphone,apple,531.26,521145088,5ffdeea5-4061-44a1-a607-64d1222c73d9,electronics,6,Friday,November,2019-11-01,False,0,0,1,high,8,0,0
2019-11-01 04:14:11+00:00,view,1306891,2053013558920217191,computers.notebook,hp,342.09,546180853,e2595b7b-765f-449c-ae5d-7ee4428d922e,computers,4,Friday,November,2019-11-01,False,0,0,1,high,1,0,0
2019-11-01 03:34:22+00:00,view,1005124,2053013555631882655,electronics.smartphone,apple,1583.48,520883757,87ea021a-cc30-430b-baf3-a5171b502bf1,electronics,3,Friday,November,2019-11-01,False,0,0,1,luxury,1,0,0
2019-10-01 06:34:50+00:00,view,1005118,2053013555631882655,electronics.smartphone,apple,975.57,514918048,5185ec33-2471-4401-a0f3-647dd086642c,electronics,6,Tuesday,October,2019-10-01,False,0,0,1,high,4,0,0
2019-11-01 05:33:06+00:00,view,2502262,2053013564003713919,appliances.kitchen.oven,simfer,205.9,557993285,017e8058-dc52-45ab-b9dc-9fe3d1b87c40,appliances,5,Friday,November,2019-11-01,False,0,0,1,mid,20,0,0
2019-10-01 06:22:40+00:00,view,2602121,2053013563970159485,unknown,dauscher,316.58,514913509,b89cbb10-56a9-43de-a976-6936d6a2eb2f,unknown,6,Tuesday,October,2019-10-01,False,0,0,1,high,10,0,0
2019-11-01 06:15:28+00:00,view,17300355,2053013553853497655,unknown,creed,216.22,566339249,c7b18171-a59c-44e0-be52-e2030234613e,unknown,6,Friday,November,2019-11-01,False,0,0,1,mid,3,0,0
